zip_code,sub_grade,grade,int_rate,term,fico_range_low,fico_range_high,inq_last_6mths,revol_util,addr_state,annual_inc,pub_rec,mths_since_last_record,loan_amnt,dti,emp_length,is_bad
860xx,C1,C,13.49,3,690,694,1,91.5,AZ,5e4,0,0,6000,15.38,5,0
712xx,B4,B,12.42,3,690,694,1,82.9,LA,3e4,0,0,2100,19.72,1,0
060xx,A2,A,6.62,3,740,744,0,21.9,CT,11e4,0,0,5500,9.69,8,0
707xx,A2,A,6.62,3,735,739,0,58.7,LA,45608.0,0,0,11000,20.5,8,0
342xx,F1,F,20.89,6,680,684,0,48.0,FL,12e4,0,0,26800,12.15,3,0
604xx,B5,B,12.69,3,705,709,0,97.7,IL,35e3,0,0,8000,10.05,5,0
900xx,D5,D,18.25,3,665,669,0,96.3,CA,75e3,0,0,10000,24.14,1,1
895xx,B3,B,11.71,3,690,694,0,46.5,NV,35e3,0,0,8000,9.7,9,0
900xx,A5,A,8.9,3,710,714,0,49.5,CA,24e3,0,0,10000,7.0,6,0
430xx,B3,B,11.71,3,695,699,0,54.1,OH,126e3,0,0,12000,13.32,2,0
919xx,A4,A,7.9,3,730,734,0,37.2,CA,43e3,0,0,10000,25.26,1,0
926xx,B1,B,9.91,3,725,729,1,29.3,CA,5e4,0,0,12000,16.44,1,0
996xx,C1,C,13.49,6,740,744,0,91.2,AK,67e3,0,0,25000,14.15,1,1
974xx,B2,B,10.65,3,720,724,0,54.2,OR,45e3,0,0,19750,22.8,4,1
104xx,B1,B,9.91,3,710,714,0,27.0,NY,31200.0,0,0,10000,14.81,3,0
891xx,B4,B,12.42,3,675,679,0,56.5,NV,66e3,0,0,13650,24.09,4,0
752xx,E4,E,19.91,6,685,689,0,87.6,TX,52e3,0,0,28000,20.7,1,1
935xx,A4,A,7.9,3,720,724,0,76.6,CA,56964.0,0,0,18000,27.55,1,0
325xx,C2,C,14.27,3,670,674,1,37.7,FL,49500.0,0,0,2500,10.33,7,0
801xx,E5,E,20.3,6,670,674,2,70.7,CO,7e4,0,0,21000,23.21,1,0
928xx,A5,A,8.9,3,740,744,0,34.8,CA,125e3,0,0,35000,22.71,6,0
080xx,A3,A,7.51,3,745,749,1,0.6,NJ,33e3,0,0,10000,9.75,3,0
233xx,B5,B,12.69,3,675,679,2,47.6,VA,3e4,0,0,7000,15.8,1,0
927xx,C5,C,15.96,3,715,719,1,71.2,CA,9e4,0,0,24000,9.17,8,1
970xx,A3,A,7.51,3,730,734,1,43.4,OR,23e3,0,0,10625,18.89,5,0
150xx,C3,C,14.65,3,670,674,2,33.3,PA,24e3,0,0,5000,18.3,2,0
211xx,A2,A,6.62,3,735,739,0,35.9,MD,62e3,0,0,8850,17.71,1,0
303xx,A3,A,7.51,3,730,734,0,58.0,GA,44e3,0,0,6375,4.8,4,0
070xx,B3,B,11.71,3,680,684,0,56.6,NJ,9e4,0,0,6000,2.97,1,0
194xx,A2,A,6.62,3,755,759,1,62.3,PA,41e3,0,0,11100,29.85,1,1
923xx,B5,B,12.69,6,735,739,1,31.2,CA,56e3,0,0,10000,10.82,2,0
263xx,A1,A,6.03,3,770,774,0,16.0,WV,26500.0,0,0,6200,18.2,5,0
300xx,E1,E,18.64,3,660,664,2,90.3,GA,54e3,0,0,15000,19.69,1,0
403xx,B3,B,11.71,3,680,684,0,79.7,MD,53e3,0,0,4200,16.91,2,0
919xx,C2,C,14.27,3,680,684,1,70.8,CA,52800.0,0,0,14000,7.36,4,0
301xx,A3,A,7.51,3,740,744,1,62.1,GA,38e3,0,0,8875,23.53,1,0
917xx,B1,B,9.91,3,745,749,1,67.3,CA,38e3,0,0,13500,12.38,7,0
553xx,B1,B,9.91,3,725,729,2,65.4,MN,42e3,0,0,12000,7.83,2,1
993xx,E4,E,19.91,6,665,669,0,72.4,WA,55e3,0,0,16000,15.8,4,0
312xx,E3,E,19.42,6,675,679,0,78.1,GA,6e4,0,0,21600,16.74,8,0
074xx,B2,B,10.65,3,690,694,0,40.5,NJ,87e3,0,0,6000,12.86,6,0
606xx,D2,D,16.77,6,690,694,2,83.5,IL,25e3,0,0,8450,22.51,5,0
432xx,C1,C,13.49,6,715,719,0,61.4,OH,82e3,0,0,20000,17.68,1,0
921xx,B3,B,11.71,3,695,699,0,29.3,CA,6e4,0,0,10000,22.08,8,1
303xx,D1,D,16.29,3,685,689,0,97.2,GA,8e4,0,0,12000,18.18,5,0
917xx,C1,C,13.49,6,730,734,1,65.8,CA,25e3,0,0,13475,21.89,1,1
602xx,B4,B,12.42,3,685,689,1,80.2,IL,48e3,0,0,7200,17.43,5,0
850xx,C3,C,14.65,3,675,679,3,90.8,AZ,85e3,0,0,5600,12.24,1,1
931xx,C2,C,14.27,3,680,684,1,81.5,CA,57e3,0,0,12000,10.86,1,0
216xx,A1,A,6.03,3,760,764,0,28.0,MD,25e3,0,0,8500,1.73,2,0
151xx,B1,B,9.91,3,710,714,0,78.5,PA,34e3,0,0,8000,18.28,2,0
971xx,B4,B,12.42,3,690,694,0,88.2,OR,4e4,0,0,8000,15.0,1,0
305xx,C4,C,15.27,6,735,739,1,92.3,GA,42656.4,0,0,16000,17.44,1,0
334xx,D3,D,17.27,3,670,674,0,91.6,FL,44400.0,1,93,15000,3.59,2,0
050xx,B1,B,9.91,3,730,734,1,66.8,VT,3e4,0,0,10000,11.24,2,0
129xx,A2,A,6.62,3,740,744,0,69.0,NY,7e4,0,0,10000,16.78,5,0
925xx,C3,C,14.65,3,675,679,1,54.3,CA,28e3,0,0,8000,12.6,3,0
483xx,B1,B,9.91,3,740,744,4,49.8,MI,5e4,0,0,22000,13.22,2,0
760xx,C2,C,14.27,3,695,699,1,95.9,TX,94800.0,0,0,6000,24.53,1,0
329xx,B1,B,9.91,6,780,784,1,28.5,FL,4e4,0,0,16000,9.39,1,0
961xx,A3,A,7.51,3,730,734,2,42.2,CA,12e3,0,0,2500,16.3,0,1
200xx,B1,B,9.91,3,725,729,1,67.2,DC,36e3,0,0,13500,22.93,2,0
085xx,B4,B,12.42,3,710,714,0,34.6,NJ,225e3,0,0,25000,8.32,2,0
951xx,C1,C,13.49,3,690,694,2,48.3,CA,45900.0,0,0,10000,24.97,2,0
981xx,C1,C,13.49,3,685,689,0,68.1,WA,27200.0,0,0,2500,6.44,4,0
330xx,B5,B,12.69,3,680,684,3,65.0,FL,42e3,0,0,7325,22.57,1,0
103xx,B4,B,12.42,3,695,699,3,85.7,NY,135e3,0,0,4000,12.12,5,0
927xx,C1,C,13.49,3,690,694,2,69.5,CA,65e3,0,0,10000,6.92,5,1
601xx,D3,D,17.27,3,665,669,1,67.1,IL,24e3,0,0,7750,16.1,1,1
334xx,F1,F,20.89,6,665,669,1,79.9,FL,7e4,0,0,20000,16.63,6,1
117xx,B4,B,12.42,3,685,689,0,70.9,NY,65e3,0,0,9600,11.65,1,0
931xx,B3,B,11.71,6,735,739,0,79.9,CA,6e4,0,0,21000,6.62,3,1
063xx,B2,B,10.65,3,700,704,0,65.6,CT,3e4,0,0,14000,15.52,3,0
920xx,B4,B,12.42,3,705,709,0,95.3,CA,43e3,0,0,13350,20.57,1,0
543xx,D2,D,16.77,3,665,669,2,74.9,WI,42e3,0,0,15000,19.63,1,1
951xx,D3,D,17.27,3,665,669,0,75.9,CA,75e3,0,0,15000,16.03,8,1
927xx,C1,C,13.49,6,720,724,0,24.1,CA,129e3,0,0,11000,10.94,1,0
775xx,B2,B,10.65,3,760,764,1,1.4,TX,168e3,0,0,35000,3.17,2,0
570xx,B2,B,10.65,3,705,709,0,71.7,SD,74e3,0,0,9000,8.89,9,0
038xx,C4,C,15.27,6,715,719,1,61.8,NH,52e3,0,0,22475,15.23,7,0
606xx,B5,B,12.69,3,695,699,0,89.3,IL,58500.0,0,0,16000,20.64,1,1
221xx,B5,B,12.69,3,710,714,2,77.7,VA,71e3,0,0,13500,11.97,5,0
985xx,B5,B,12.69,3,700,704,0,84.6,WA,75e3,0,0,24000,11.6,1,0
920xx,B2,B,10.65,3,715,719,1,48.8,CA,6e4,0,0,12000,10.84,5,0
113xx,D2,D,16.77,6,685,689,0,80.3,NY,87996.0,0,0,8400,11.35,5,0
275xx,D4,D,17.58,6,715,719,1,13.4,NC,14e4,0,0,28000,12.07,5,0
236xx,A2,A,6.62,3,750,754,1,35.4,VA,66e3,0,0,14000,11.15,1,0
148xx,C2,C,14.27,3,690,694,1,86.2,NY,7e4,0,0,12000,8.4,8,1
028xx,B3,B,11.71,3,735,739,1,89.1,RI,1e5,0,0,25000,6.88,1,0
115xx,B5,B,12.69,3,695,699,1,55.4,NY,5e4,0,0,9000,17.81,5,0
450xx,B2,B,10.65,3,720,724,2,58.7,OH,35e3,0,0,13250,24.93,4,0
921xx,C1,C,13.49,3,715,719,1,90.8,CA,75e3,0,0,20000,22.38,6,0
532xx,C3,C,14.65,3,680,684,1,88.7,WI,71e3,0,0,3000,21.84,5,0
729xx,B2,B,10.65,3,695,699,0,77.5,AR,48e3,0,0,7350,11.93,1,0
321xx,C4,C,15.27,3,670,674,1,76.7,FL,36e3,0,0,11500,21.1,5,0
913xx,B4,B,12.42,3,700,704,1,73.4,CA,86e3,0,0,13650,12.29,1,1
959xx,D1,D,16.29,3,680,684,1,55.5,CA,3e4,0,0,10500,15.0,3,1
941xx,B1,B,9.91,3,715,719,0,85.7,CA,6e4,0,0,12000,15.5,2,0
432xx,A5,A,8.9,3,715,719,2,64.8,OH,34e3,0,0,6000,14.51,3,0
955xx,C4,C,15.27,3,685,689,1,90.0,CA,44200.0,0,0,11500,21.69,1,0
217xx,B4,B,12.42,3,690,694,1,71.6,MD,82e3,0,0,7000,12.0,7,0
880xx,E5,E,20.3,6,690,694,0,89.8,NM,83e3,0,0,29500,20.93,6,0
770xx,C4,C,15.27,3,680,684,1,96.4,TX,41e3,0,0,2000,17.74,2,0
660xx,C1,C,13.49,3,690,694,1,84.7,KS,36e3,0,0,11625,19.33,1,0
770xx,C2,C,14.27,3,700,704,1,89.6,TX,35e3,0,0,15075,20.16,1,1
062xx,C4,C,15.27,3,660,664,2,82.7,CT,3e4,0,0,5300,24.88,1,0
193xx,A2,A,6.62,3,750,754,1,25.5,PA,4e4,0,0,8200,11.1,1,0
750xx,B4,B,12.42,3,700,704,1,75.0,TX,105e3,0,0,12000,13.98,9,0
335xx,C2,C,14.27,3,680,684,2,58.9,FL,45e3,0,0,8650,7.6,4,0
070xx,D3,D,17.27,6,695,699,0,50.3,NJ,109e3,0,0,21000,7.75,1,0
761xx,D3,D,17.27,6,695,699,0,42.2,TX,5e4,0,0,16000,11.04,2,0
941xx,B4,B,12.42,3,700,704,2,51.1,CA,83e3,0,0,12000,11.81,2,0
921xx,B5,B,12.69,3,695,699,2,75.3,CA,52500.0,0,0,9500,23.54,1,1
857xx,C1,C,13.49,3,690,694,0,92.8,AZ,25e3,0,0,7400,8.45,1,0
334xx,C1,C,13.49,3,690,694,1,65.0,FL,6e4,0,0,14400,16.92,1,0
850xx,G4,G,23.91,6,670,674,3,99.0,AZ,12e4,0,0,24250,12.96,7,0
306xx,A4,A,7.9,3,720,724,0,82.9,GA,68e3,0,0,7200,7.98,3,1
271xx,D2,D,16.77,6,730,734,1,72.7,NC,53e3,0,0,26000,11.77,1,1
981xx,B3,B,11.71,6,730,734,0,90.9,WA,69600.0,0,0,7000,26.22,6,1
902xx,A3,A,7.51,3,720,724,0,50.7,CA,65e3,0,0,4000,18.17,1,0
900xx,D3,D,17.27,3,665,669,0,97.8,CA,144e3,0,0,1500,8.23,1,0
142xx,B4,B,12.42,3,695,699,0,50.1,NY,75e3,0,0,19600,11.62,2,0
850xx,B3,B,11.71,3,685,689,0,66.7,AZ,29e3,0,0,2500,18.7,7,0
956xx,B5,B,12.69,3,685,689,0,70.2,CA,7e4,0,0,10000,2.69,2,1
441xx,A2,A,6.62,3,740,744,0,70.4,OH,45e3,0,0,10000,26.85,5,0
983xx,B4,B,12.42,3,690,694,1,73.7,WA,55200.0,0,0,4225,17.61,5,0
945xx,A4,A,7.9,3,715,719,0,55.5,CA,61440.0,0,0,3500,6.46,7,0
330xx,A2,A,6.62,3,735,739,0,80.3,FL,56e3,0,0,12000,13.65,1,0
604xx,A5,A,8.9,3,745,749,1,38.8,IL,47e3,0,0,16500,9.06,1,0
985xx,F3,F,21.67,6,665,669,1,79.4,WA,55e3,0,0,22000,15.62,1,0
672xx,C3,C,14.65,3,675,679,2,71.0,KS,71e3,0,0,12000,14.87,1,0
109xx,B5,B,12.69,6,740,744,1,35.7,NY,5e4,0,0,15600,5.78,1,1
917xx,B4,B,12.42,3,675,679,0,74.5,CA,135e3,0,0,10800,12.12,8,0
300xx,B4,B,12.42,3,715,719,0,97.8,GA,63e3,0,0,14000,7.35,1,0
113xx,D4,D,17.58,6,700,704,0,93.2,NY,44e3,0,0,18825,24.98,4,0
880xx,C1,C,13.49,3,675,679,1,83.6,NM,5e4,0,0,6000,15.58,5,0
752xx,B1,B,9.91,3,705,709,0,67.7,TX,8e4,0,0,12000,14.83,5,0
981xx,B4,B,12.42,3,680,684,0,51.6,WA,45e3,0,0,10000,10.45,4,0
112xx,A4,A,7.9,3,720,724,1,55.9,NY,78e3,0,0,8000,6.09,2,0
972xx,B1,B,9.91,3,725,729,3,66.0,OR,33e3,0,0,14125,23.13,1,0
980xx,B5,B,12.69,3,690,694,1,64.5,WA,62800.0,0,0,14000,19.24,5,0
770xx,D3,D,17.27,6,690,694,3,50.1,TX,26400.0,0,0,13200,9.64,3,0
275xx,E2,E,19.03,3,680,684,2,22.6,NC,8e4,0,0,4000,20.59,1,0
802xx,B5,B,12.69,3,685,689,3,79.7,CO,25e3,0,0,4000,6.86,2,1
760xx,A1,A,6.03,3,775,779,0,18.7,TX,65e3,0,0,10500,10.36,1,0
187xx,A4,A,7.9,3,705,709,0,43.3,PA,59e3,1,52,5500,6.65,1,0
917xx,B3,B,11.71,3,695,699,1,77.9,CA,33e3,0,0,7350,22.51,1,0
630xx,B4,B,12.42,3,720,724,1,90.6,MO,39e3,0,0,10000,18.31,1,1
435xx,A3,A,7.51,3,735,739,1,43.0,OH,42e3,0,0,12000,10.74,1,0
488xx,B3,B,11.71,6,710,714,0,57.3,MI,38004.0,0,0,5000,23.78,5,0
972xx,B3,B,11.71,6,745,749,3,34.4,OR,31e3,0,0,8000,16.22,3,0
287xx,A5,A,8.9,3,700,704,0,24.4,NC,50700.0,0,0,4500,23.43,1,0
705xx,B4,B,12.42,3,720,724,2,66.1,LA,75e3,0,0,18000,12.51,1,0
592xx,C1,C,13.49,6,720,724,1,55.5,MT,3e4,0,0,12300,12.76,2,0
318xx,C1,C,13.49,3,670,674,0,80.5,GA,4e4,0,0,12000,15.72,6,0
928xx,C1,C,13.49,3,695,699,2,47.6,CA,5e4,0,0,10000,5.88,1,0
549xx,A4,A,7.9,3,740,744,4,30.3,WI,8e4,0,0,6000,8.87,7,0
212xx,B5,B,12.69,3,695,699,1,55.5,MD,4e4,0,0,12000,22.2,4,0
900xx,A5,A,8.9,3,715,719,0,83.5,CA,8e4,0,0,12000,9.13,7,1
926xx,B3,B,11.71,3,690,694,0,94.1,CA,75e3,0,0,7000,15.57,2,0
604xx,E1,E,18.64,6,720,724,1,53.0,IL,85e3,0,0,35000,12.0,8,0
347xx,A4,A,7.9,3,745,749,1,9.9,FL,28800.0,0,0,1400,10.0,1,0
274xx,C1,C,13.49,6,730,734,1,58.5,NC,35e3,0,0,16000,16.22,1,1
921xx,B1,B,9.91,3,700,704,0,33.3,CA,61200.0,1,113,3200,2.16,9,0
921xx,A4,A,7.9,3,735,739,0,34.4,CA,4e4,0,0,8000,13.35,1,0
941xx,B5,B,12.69,6,725,729,0,94.1,CA,25920.0,0,0,11875,23.75,1,1
070xx,A1,A,6.03,3,790,794,0,4.0,NJ,54e3,0,0,5000,3.82,9,0
488xx,A2,A,6.62,3,750,754,0,39.8,MI,18e3,0,0,1800,23.8,1,0
606xx,A5,A,8.9,3,735,739,0,61.5,IL,85e3,0,0,35000,17.73,5,0
112xx,A5,A,8.9,3,740,744,1,66.3,NY,78e3,0,0,18000,7.0,5,0
265xx,A4,A,7.9,3,740,744,0,63.9,WV,45600.0,0,0,14000,19.74,1,1
785xx,B4,B,12.42,3,685,689,1,54.2,TX,7e4,0,0,5000,20.06,2,0
606xx,C5,C,15.96,3,675,679,2,91.9,IL,7e4,0,0,8000,14.04,4,0
027xx,A1,A,6.03,3,750,754,0,45.2,MA,8e4,0,0,10000,12.99,9,0
089xx,A3,A,7.51,3,740,744,2,25.7,NJ,5e4,0,0,10000,4.63,5,0
813xx,B4,B,12.42,3,685,689,0,75.7,CO,35e3,0,0,12000,18.51,1,0
483xx,A4,A,7.9,3,740,744,0,47.0,MI,65e3,0,0,23200,27.99,3,0
069xx,C4,C,15.27,6,710,714,3,83.2,CT,84e3,0,0,18000,11.41,1,0
260xx,C4,C,15.27,3,665,669,1,73.7,WV,75e3,0,0,4800,9.3,1,0
201xx,B3,B,11.71,3,695,699,1,44.6,VA,35e3,0,0,7300,16.42,6,0
349xx,B1,B,9.91,3,730,734,2,80.6,FL,4e4,0,0,10400,11.67,6,0
322xx,B1,B,9.91,3,710,714,2,27.8,FL,1e5,0,0,6600,15.53,1,0
075xx,A5,A,8.9,3,715,719,0,37.4,NJ,4e4,0,0,12000,9.45,7,0
124xx,D3,D,17.27,3,670,674,0,91.5,NY,52e3,0,0,13250,23.7,1,0
