"","loan_amnt","term","emp_length","home_ownership","annual_inc","addr_state","dti","delinq_2yrs","inq_last_6mths","open_acc","pub_rec","revol_bal","revol_util","total_acc","pub_rec_bankruptcies","fico","is_bad"
"141",15000,3,1,"RENT",54000,"GA",19.69,0,2,9,0,15183,90.3,12,0,662,0
"142",4200,3,2,"RENT",53000,"MD",16.91,0,0,15,0,8336,79.7,22,0,682,0
"143",14000,3,4,"RENT",52800,"CA",7.36,0,1,9,0,13378,70.8,14,0,682,0
"144",8875,3,1,"MORTGAGE",38000,"GA",23.53,0,1,13,0,19056,62.1,27,0,742,0
"145",13500,3,7,"RENT",38000,"CA",12.38,0,1,3,0,16023,67.3,7,0,747,0
"146",12000,3,2,"RENT",42000,"MN",7.83,0,2,8,0,9749,65.4,16,0,727,1
"147",16000,6,4,"RENT",55000,"WA",15.8,0,0,8,0,7743,72.4,19,0,667,0
"148",21600,6,8,"MORTGAGE",60000,"GA",16.74,1,0,6,0,13354,78.1,21,0,677,0
"149",6000,3,6,"MORTGAGE",87000,"NJ",12.86,2,0,12,0,11739,40.5,22,0,692,0
"150",8450,6,5,"OWN",25000,"IL",22.51,0,2,6,0,17614,83.5,21,0,692,0
"151",20000,6,1,"RENT",82000,"OH",17.68,0,0,13,0,26693,61.4,23,0,717,0
"152",10000,3,8,"RENT",60000,"CA",22.08,0,0,8,0,5626,29.3,26,0,697,1
"153",12000,3,5,"MORTGAGE",80000,"GA",18.18,0,0,8,0,29609,97.2,11,0,687,0
"154",13475,6,1,"RENT",25000,"CA",21.89,0,1,7,0,9943,65.8,14,0,732,1
"155",7200,3,5,"RENT",48000,"IL",17.43,0,1,7,0,16450,80.2,10,0,687,0
"156",5600,3,1,"MORTGAGE",85000,"AZ",12.24,1,3,8,0,6812,90.8,31,0,677,1
"157",12000,3,1,"RENT",57000,"CA",10.86,0,1,7,0,9273,81.5,11,0,682,0
"158",8500,3,2,"RENT",25000,"MD",1.73,0,0,6,0,2463,28,18,0,762,0
"159",8000,3,2,"RENT",34000,"PA",18.28,0,0,6,0,7434,78.5,7,0,712,0
"160",8000,3,1,"RENT",40000,"OR",15,0,0,10,0,18601,88.2,11,0,692,0
"161",16000,6,1,"RENT",42656.4,"GA",17.44,0,1,4,0,12830,92.3,17,0,737,0
"162",15000,3,2,"MORTGAGE",44400,"FL",3.59,1,0,6,1,4582,91.6,16,1,672,0
"163",10000,3,2,"OWN",30000,"VT",11.24,0,1,8,0,9152,66.8,30,0,732,0
"164",10000,3,5,"MORTGAGE",70000,"NY",16.78,0,0,9,0,10770,69,18,0,742,0
"165",8000,3,3,"RENT",28000,"CA",12.6,0,1,8,0,6187,54.3,11,0,677,0
"166",22000,3,2,"MORTGAGE",50000,"MI",13.22,0,4,17,0,21470,49.8,32,0,742,0
"167",6000,3,1,"MORTGAGE",94800,"TX",24.53,0,1,13,0,71890,95.9,30,0,697,0
"168",16000,6,1,"OWN",40000,"FL",9.39,0,1,6,0,13270,28.5,23,0,782,0
"169",13500,3,2,"MORTGAGE",36000,"DC",22.93,0,1,13,0,25011,67.2,15,0,727,0
"170",25000,3,2,"RENT",225000,"NJ",8.32,1,0,11,0,30449,34.6,23,0,712,0
"171",10000,3,2,"RENT",45900,"CA",24.97,0,2,10,0,8936,48.3,12,0,692,0
"172",2500,3,4,"RENT",27200,"WA",6.44,0,0,6,0,3473,68.1,6,0,687,0
"173",7325,3,1,"RENT",42000,"FL",22.57,0,3,12,0,7281,65,29,0,682,0
"174",4000,3,5,"RENT",135000,"NY",12.12,0,3,11,0,29311,85.7,21,0,697,0
"175",10000,3,5,"RENT",65000,"CA",6.92,1,2,12,0,14292,69.5,17,0,692,1
"176",7750,3,1,"RENT",24000,"IL",16.1,0,1,4,0,2348,67.1,7,0,667,1
"177",20000,6,6,"RENT",70000,"FL",16.63,0,1,10,0,10470,79.9,24,0,667,1
"178",9600,3,1,"RENT",65000,"NY",11.65,0,0,6,0,11279,70.9,11,0,687,0
"179",21000,6,3,"RENT",60000,"CA",6.62,0,0,7,0,10543,79.9,11,0,737,1
"180",14000,3,3,"RENT",30000,"CT",15.52,0,0,7,0,15542,65.6,14,0,702,0
"181",13350,3,1,"RENT",43000,"CA",20.57,0,0,7,0,11531,95.3,15,0,707,0
"182",15000,3,1,"RENT",42000,"WI",19.63,0,2,10,0,8238,74.9,38,0,667,1
"183",15000,3,8,"RENT",75000,"CA",16.03,0,0,10,0,13505,75.9,17,0,667,1
"184",11000,6,1,"MORTGAGE",129000,"CA",10.94,0,0,10,0,1735,24.1,31,0,722,0
"185",35000,3,2,"MORTGAGE",168000,"TX",3.17,1,1,16,0,1099,1.4,22,0,762,0
"186",9000,3,9,"MORTGAGE",74000,"SD",8.89,0,0,7,0,7388,71.7,10,0,707,0
"187",22475,6,7,"MORTGAGE",52000,"NH",15.23,0,1,7,0,18554,61.8,23,0,717,0
"188",16000,3,1,"RENT",58500,"IL",20.64,0,0,8,0,26224,89.3,10,0,697,1
"189",13500,3,5,"RENT",71000,"VA",11.97,0,2,4,0,6681,77.7,11,0,712,0
"190",24000,3,1,"RENT",75000,"WA",11.6,0,0,10,0,21609,84.6,33,0,702,0
"191",12000,3,5,"RENT",60000,"CA",10.84,0,1,12,0,11849,48.8,18,0,717,0
"192",8400,6,5,"RENT",87996,"NY",11.35,0,0,8,0,9551,80.3,13,0,687,0
"193",28000,6,5,"MORTGAGE",140000,"NC",12.07,0,1,13,0,2686,13.4,24,0,717,0
"194",14000,3,1,"RENT",66000,"VA",11.15,0,1,7,0,12095,35.4,46,0,752,0
"195",12000,3,8,"MORTGAGE",70000,"NY",8.4,0,1,7,0,11546,86.2,12,0,692,1
"196",25000,3,1,"MORTGAGE",1e+05,"RI",6.88,0,1,8,0,21128,89.1,18,0,737,0
"197",9000,3,5,"RENT",50000,"NY",17.81,0,1,13,0,12752,55.4,21,0,697,0
"198",13250,3,4,"RENT",35000,"OH",24.93,0,2,11,0,13392,58.7,25,0,722,0
"199",20000,3,6,"RENT",75000,"CA",22.38,0,1,7,0,19548,90.8,17,0,717,0
"200",3000,3,5,"RENT",71000,"WI",21.84,0,1,4,0,15072,88.7,14,0,682,0
"201",7350,3,1,"MORTGAGE",48000,"AR",11.93,0,0,5,0,15587,77.5,5,0,697,0
"202",11500,3,5,"RENT",36000,"FL",21.1,0,1,7,0,8969,76.7,14,0,672,0
"203",13650,3,1,"MORTGAGE",86000,"CA",12.29,0,1,12,0,16140,73.4,34,0,702,1
"204",10500,3,3,"RENT",30000,"CA",15,0,1,7,0,5379,55.5,8,0,682,1
"205",12000,3,2,"RENT",60000,"CA",15.5,0,0,7,0,12168,85.7,21,0,717,0
"206",6000,3,3,"RENT",34000,"OH",14.51,0,2,9,0,13683,64.8,16,0,717,0
"207",11500,3,1,"MORTGAGE",44200,"CA",21.69,0,1,9,0,13147,90,11,0,687,0
"208",7000,3,7,"MORTGAGE",82000,"MD",12,0,1,6,0,25334,71.6,31,0,692,0
"209",29500,6,6,"MORTGAGE",83000,"NM",20.93,0,0,12,0,22087,89.8,35,0,692,0
"210",2000,3,2,"RENT",41000,"TX",17.74,0,1,7,0,18115,96.4,11,0,682,0
"211",11625,3,1,"MORTGAGE",36000,"KS",19.33,0,1,17,0,19979,84.7,31,0,692,0
"212",15075,3,1,"RENT",35000,"TX",20.16,0,1,7,0,10570,89.6,14,0,702,1
"213",5300,3,1,"RENT",30000,"CT",24.88,0,2,11,0,7855,82.7,13,0,662,0
"214",8200,3,1,"RENT",40000,"PA",11.1,0,1,7,0,2573,25.5,11,0,752,0
"215",12000,3,9,"MORTGAGE",105000,"TX",13.98,0,1,10,0,11243,75,25,0,702,0
"216",8650,3,4,"MORTGAGE",45000,"FL",7.6,0,2,14,0,6602,58.9,23,0,682,0
"217",21000,6,1,"MORTGAGE",109000,"NJ",7.75,0,0,9,0,25435,50.3,16,0,697,0
"218",16000,6,2,"RENT",50000,"TX",11.04,0,0,10,0,15788,42.2,16,0,697,0
"219",12000,3,2,"RENT",83000,"CA",11.81,0,2,14,0,16550,51.1,61,0,702,0
"220",9500,3,1,"MORTGAGE",52500,"CA",23.54,0,2,14,0,23729,75.3,42,0,697,1
"221",7400,3,1,"OWN",25000,"AZ",8.45,0,0,5,0,5199,92.8,13,0,692,0
"222",14400,3,1,"MORTGAGE",60000,"FL",16.92,0,1,15,0,23317,65,26,0,692,0
"223",24250,6,7,"MORTGAGE",120000,"AZ",12.96,0,3,7,0,31992,99,20,0,672,0
"224",7200,3,3,"RENT",68000,"GA",7.98,0,0,5,0,8783,82.9,14,0,722,1
"225",26000,6,1,"MORTGAGE",53000,"NC",11.77,0,1,5,0,7560,72.7,14,0,732,1
"226",7000,6,6,"MORTGAGE",69600,"WA",26.22,0,0,10,0,45449,90.9,23,0,732,1
"227",4000,3,1,"RENT",65000,"CA",18.17,0,0,10,0,10032,50.7,24,0,722,0
"228",1500,3,1,"MORTGAGE",144000,"CA",8.23,1,0,6,0,14186,97.8,14,0,667,0
"229",19600,3,2,"RENT",75000,"NY",11.62,0,0,8,0,20355,50.1,12,0,697,0
"230",2500,3,7,"MORTGAGE",29000,"AZ",18.7,0,0,5,0,2668,66.7,13,0,687,0
"231",10000,3,2,"RENT",70000,"CA",2.69,0,0,5,0,6035,70.2,6,0,687,1
"232",10000,3,5,"RENT",45000,"OH",26.85,0,0,15,0,10133,70.4,40,0,742,0
"233",4225,3,5,"MORTGAGE",55200,"WA",17.61,0,1,6,0,4055,73.7,12,0,692,0
"234",3500,3,7,"MORTGAGE",61440,"CA",6.46,1,0,6,0,15472,55.5,19,0,717,0
"235",12000,3,1,"MORTGAGE",56000,"FL",13.65,0,0,7,0,9873,80.3,21,0,737,0
"236",16500,3,1,"RENT",47000,"IL",9.06,0,1,6,0,13917,38.8,24,0,747,0
"237",22000,6,1,"RENT",55000,"WA",15.62,0,1,9,0,20154,79.4,27,0,667,0
"238",12000,3,1,"RENT",71000,"KS",14.87,0,2,15,0,17972,71,38,0,677,0
"239",15600,6,1,"RENT",50000,"NY",5.78,0,1,8,0,8079,35.7,11,0,742,1
"240",10800,3,8,"RENT",135000,"CA",12.12,0,0,14,0,18467,74.5,23,0,677,0
"241",14000,3,1,"MORTGAGE",63000,"GA",7.35,0,0,5,0,17212,97.8,19,0,717,0
"242",18825,6,4,"MORTGAGE",44000,"NY",24.98,0,0,9,0,14092,93.2,20,0,702,0
"243",6000,3,5,"MORTGAGE",50000,"NM",15.58,0,1,8,0,7361,83.6,14,0,677,0
"244",12000,3,5,"RENT",80000,"TX",14.83,0,0,11,0,17536,67.7,21,0,707,0
"245",10000,3,4,"RENT",45000,"WA",10.45,0,0,14,0,10177,51.6,19,0,682,0
"246",8000,3,2,"RENT",78000,"NY",6.09,0,1,16,0,15988,55.9,31,0,722,0
"247",14125,3,1,"RENT",33000,"OR",23.13,0,3,12,0,19472,66,20,0,727,0
"248",14000,3,5,"RENT",62800,"WA",19.24,0,1,10,0,13579,64.5,18,0,692,0
"249",13200,6,3,"RENT",26400,"TX",9.64,0,3,8,0,7411,50.1,12,0,692,0
"250",4000,3,1,"MORTGAGE",80000,"NC",20.59,1,2,30,0,6654,22.6,56,0,682,0
"251",4000,3,2,"RENT",25000,"CO",6.86,0,3,5,0,8546,79.7,13,0,687,1
"252",10500,3,1,"MORTGAGE",65000,"TX",10.36,0,0,8,0,10729,18.7,16,0,777,0
"253",5500,3,1,"OWN",59000,"PA",6.65,0,0,10,1,9130,43.3,23,0,707,0
"254",7350,3,1,"RENT",33000,"CA",22.51,0,1,13,0,24782,77.9,23,0,697,0
"255",10000,3,1,"RENT",39000,"MO",18.31,0,1,7,0,11691,90.6,19,0,722,1
"256",12000,3,1,"RENT",42000,"OH",10.74,0,1,7,0,18913,43,17,0,737,0
"257",5000,6,5,"MORTGAGE",38004,"MI",23.78,0,0,12,0,10023,57.3,17,0,712,0
"258",8000,6,3,"OWN",31000,"OR",16.22,0,3,13,0,2751,34.4,29,0,747,0
"259",4500,3,1,"MORTGAGE",50700,"NC",23.43,0,0,10,0,9127,24.4,20,0,702,0
"260",18000,3,1,"OWN",75000,"LA",12.51,0,2,9,0,14810,66.1,27,0,722,0
"261",12300,6,2,"MORTGAGE",30000,"MT",12.76,0,1,8,0,10981,55.5,12,0,722,0
"262",12000,3,6,"RENT",40000,"GA",15.72,0,0,8,0,10790,80.5,13,0,672,0
"263",10000,3,1,"MORTGAGE",50000,"CA",5.88,1,2,5,0,8899,47.6,15,0,697,0
"264",6000,3,7,"MORTGAGE",80000,"WI",8.87,0,4,8,0,19071,30.3,29,0,742,0
"265",12000,3,4,"RENT",40000,"MD",22.2,0,1,9,0,16273,55.5,23,0,697,0
"266",12000,3,7,"RENT",80000,"CA",9.13,0,0,8,0,13088,83.5,16,0,717,1
"267",7000,3,2,"RENT",75000,"CA",15.57,0,0,7,0,22196,94.1,17,0,692,0
"268",35000,6,8,"MORTGAGE",85000,"IL",12,0,1,16,0,31071,53,50,0,722,0
"269",1400,3,1,"RENT",28800,"FL",10,0,1,5,0,2016,9.9,7,0,747,0
"270",16000,6,1,"RENT",35000,"NC",16.22,0,1,6,0,19184,58.5,14,0,732,1
"271",3200,3,9,"RENT",61200,"CA",2.16,0,0,5,1,2795,33.3,17,1,702,0
"272",8000,3,1,"RENT",40000,"CA",13.35,0,0,4,0,2440,34.4,11,0,737,0
"273",11875,6,1,"RENT",25920,"CA",23.75,0,0,8,0,13932,94.1,28,0,727,1
"274",5000,3,9,"MORTGAGE",54000,"NJ",3.82,0,0,6,0,1779,4,14,0,792,0
"275",1800,3,1,"RENT",18000,"MI",23.8,0,0,5,0,1792,39.8,12,0,752,0
